Job Title,Location,Sector,Job Type,Closing Date,Job URL,Employer,Sponsored,Category,Sponsorship Start Date,Scrape Date
Support Worker - Clarence Valley / Yamba,"Yamba, NSW, 2464",Aged Care,Part time permanent,Closing on: Dec 18 2024,https://careers.uniting.org/jobs/support-worker-clarence-valley-yamba-yamba-nsw-australia-c126f328-c27a-4a8b-8346-70f04ddf0e23,Uniting Care,true,Top Job,2024-12-02,2024-12-02
Home Care Worker Port Macquarie,"Port Macquarie, NSW, 2444",Aged Care,Part time permanent,Closing on: Dec 29 2024,https://careers.uniting.org/jobs/home-care-worker-port-macquarie-port-macquarie-nsw-australia,Uniting Care,false,,,2024-12-02
Leisure and Wellness Coordinator,"Nowra, NSW, 2541",Aged Care,Full time closed period contract,Closing on: Jan 2 2025,https://careers.uniting.org/jobs/leisure-and-wellness-coordinator-nowra-nsw-australia-d76d80f9-b059-4fcb-896b-797080d385e8,Uniting Care,true,Top Job,2024-12-02,2024-12-02
Support Worker - Tamworth,"Tamworth, NSW, 2340",Aged Care,Part time permanent,Closing on: Dec 29 2024,https://careers.uniting.org/jobs/support-worker-tamworth-tamworth-nsw-australia-b20793f2-7469-4a76-988b-165154cf52e0,Uniting Care,true,Top Job,2024-12-02,2024-12-02
Bus Driver - Wesley Heights,"Manly, NSW, 2095",Aged Care,Part time permanent,Closing on: Jan 2 2025,https://careers.uniting.org/jobs/bus-driver-wesley-heights-manly-nsw-australia,Uniting Care,false,,,2024-12-02
Admissions Specialist,"Sydney, NSW, 2000",Aged Care,Full time closed period contract,Closing on: Dec 6 2024,https://careers.uniting.org/jobs/admissions-specialist-sydney-nsw-australia,Uniting Care,false,,,2024-12-02
Home Care Worker,"Broken Hill, NSW, 2880",Aged Care,Part time permanent,Closing on: Dec 27 2024,https://careers.uniting.org/jobs/home-care-worker-broken-hill-nsw-australia-5a18e9ae-5f54-4f6a-970d-bfc1de6cdd9b,Uniting Care,false,,,2024-12-02
Home Care Worker,"Broken Hill, NSW, 2880",Aged Care,Part time permanent,Closing on: Dec 27 2024,https://careers.uniting.org/jobs/home-care-worker-broken-hill-nsw-australia-341a8560-9392-4554-8ce9-7ef0ab1d878e,Uniting Care,false,,,2024-12-02
Home Care Worker,"Orange, NSW, 2800",Aged Care,Part time permanent,Closing on: Dec 26 2024,https://careers.uniting.org/jobs/home-care-worker-orange-nsw-australia-5998f849-305f-46e7-b1ea-ce36c8109679,Uniting Care,false,,,2024-12-02
Senior Clinician,"Nowra, NSW, 2541",Aged Care,Full time closed period contract,Closing on: Dec 19 2024,https://careers.uniting.org/jobs/senior-clinician-nowra-nsw-australia,Uniting Care,false,,,2024-12-02
